"VarName","TimeString","VarValue","Validity","Time_ms"
"FIT-01","6/3/2019 8:21:26 AM",31.73611,1,43619348220.0347
"FIT-02","6/3/2019 8:21:26 AM",27.02703,1,43619348220.0347
"FIT-03","6/3/2019 8:21:26 AM",4.847179,1,43619348220.0347
"PIT-02","6/3/2019 8:21:26 AM",3.182147,1,43619348220.0347
"PIT-03","6/3/2019 8:21:26 AM",7.111726,1,43619348220.0347
"PIT-05","6/3/2019 8:21:26 AM",1.350911,1,43619348220.0347
"PIT-06","6/3/2019 8:21:26 AM",4.8801,1,43619348220.0347
"FIT-01","6/3/2019 8:21:31 AM",31.70718,1,43619348277.9051
"FIT-02","6/3/2019 8:21:31 AM",27.02703,1,43619348277.9051
"FIT-03","6/3/2019 8:21:31 AM",4.829621,1,43619348277.9051
"PIT-02","6/3/2019 8:21:31 AM",3.186487,1,43619348277.9051
"PIT-03","6/3/2019 8:21:31 AM",7.114439,1,43619348277.9051
"PIT-05","6/3/2019 8:21:31 AM",1.361762,1,43619348277.9051
"PIT-06","6/3/2019 8:21:31 AM",4.885525,1,43619348277.9051
"FIT-01","6/3/2019 8:21:36 AM",31.73032,1,43619348335.8218
"FIT-02","6/3/2019 8:21:36 AM",27.135,1,43619348335.8218
"FIT-03","6/3/2019 8:21:36 AM",4.829621,1,43619348335.8218
"PIT-02","6/3/2019 8:21:36 AM",3.213976,1,43619348335.8218
"PIT-03","6/3/2019 8:21:36 AM",7.148799,1,43619348335.8218
"PIT-05","6/3/2019 8:21:36 AM",1.405165,1,43619348335.8218
"PIT-06","6/3/2019 8:21:36 AM",4.918077,1,43619348335.8218
"FIT-01","6/3/2019 8:21:41 AM",31.73611,1,43619348393.7616
"FIT-02","6/3/2019 8:21:41 AM",27.135,1,43619348393.7616
"FIT-03","6/3/2019 8:21:41 AM",4.858955,1,43619348393.7616
"PIT-02","6/3/2019 8:21:41 AM",3.201317,1,43619348393.7616
"PIT-03","6/3/2019 8:21:41 AM",7.148799,1,43619348393.7616
"PIT-05","6/3/2019 8:21:41 AM",1.410229,1,43619348393.7616
"PIT-06","6/3/2019 8:21:41 AM",4.92079,1,43619348393.7616
"FIT-01","6/3/2019 8:21:46 AM",31.71875,1,43619348451.6319
"FIT-02","6/3/2019 8:21:46 AM",27.135,1,43619348451.6319
"FIT-03","6/3/2019 8:21:46 AM",4.902628,1,43619348451.6319
"PIT-02","6/3/2019 8:21:46 AM",3.197338,1,43619348451.6319
"PIT-03","6/3/2019 8:21:46 AM",7.141565,1,43619348451.6319
